ts,open,high,low,close,kvwapd1,kvwaph4,kvwaph1,kvwapm30,kvwapm15,kvwapm5,kvwapm1,fair_price,breakout_price,breakout_coc,breakout_rev
2020-03-01,8532.5,8762.24,8409,8537.84,8589.18883,8588.318397,8581.511938,8575.629799,8571.510072,8569.485897,8568.989109,,,,
2020-03-02,8537.84,8972,8504.95,8919.7,8646.56486,8650.622011,8682.421798,8708.653756,8727.900278,8743.005846,8749.259934,,,,
2020-03-03,8919.7,8922.34,8657.41,8765,8826.222286,8824.721377,8812.822295,8802.771856,8795.716311,8791.254449,8789.543823,,,,
2020-03-04,8765,8853.88,8669.23,8756.93,8785.976182,8784.75507,8775.547357,8768.92522,8765.34341,8763.987635,8763.85875,,,,
2020-03-05,8755.98,9172.3,8755.98,9062.81,8929.81798,8933.310205,8960.680495,8982.571333,8997.63202,9008.884525,9013.566237,,,,
2020-03-06,9062.62,9179.75,8994.14,9139.48,9075.096244,9075.640346,9080.069651,9083.915696,9086.903548,9089.329656,9090.384863,,,,
2020-03-07,9139.77,9204,8850,8897.18,9094.991241,9093.421857,9080.933623,9068.921327,9058.00722,9048.955132,9045.188333,,,,
2020-03-08,8895.62,8897.71,7997.7,8038.46,8724.503469,8718.804089,8674.51618,8636.64542,8606.990628,8582.709172,8570.937494,,8409,FALSE,FALSE
2020-03-09,8038.99,8182.31,7635.21,7932.15,7967.612427,7963.92007,7935.087638,7912.224513,7897.329719,7887.672017,7883.972287,,,,
2020-03-10,7932.45,8156.31,7733,7897.66,7938.499722,7939.122765,7944.02646,7947.181874,7948.658683,7949.708058,7949.705346,,,,
2020-03-11,7898.21,7988,7593.29,7938.39,7883.326529,7881.504299,7867.289727,7856.419863,7850.433262,7848.526945,7848.880482,,,,
2020-03-12,7938.39,7969,4347,4764.65,7363.250763,7335.07257,7116.228683,6942.970348,6823.436663,6729.221245,6681.899859,,,,
2020-03-13,4762.28,5971,3621.81,5570.26,4958.173538,4967.659862,5044.94326,5108.973746,5153.763745,5187.705003,5200.699649,,,,
2020-03-14,5569.84,5638.42,5040,5167.01,5430.683893,5429.142221,5416.629229,5406.391249,5398.970003,5390.52646,5384.934023,,,,
2020-03-15,5167.21,5954.47,5089.12,5357.32,5238.54007,5240.823686,5259.026312,5274.224585,5285.665352,5295.269507,5299.017984,,,,
2020-03-16,5354.81,5361.26,4413.62,5026.26,5101.155967,5095.913202,5053.843056,5021.391732,5001.740828,4988.245208,4983.428125,,,,
2020-03-17,5027.11,5529.98,4913.49,5307.38,5214.13132,5216.142012,5232.859238,5249.28326,5264.510067,5279.408474,5286.069796,,,,
2020-03-18,5306.42,5435,4982.75,5389.64,5290.224724,5288.699228,5276.348825,5267.659448,5264.235556,5263.426109,5263.624851,,,,
2020-03-19,5389.94,6400,5246.5,6159.6,5461.894718,5473.04576,5559.243548,5628.931454,5677.968541,5713.070832,5726.389717,,,,
2020-03-20,6159.41,6911,5650,6203.77,6296.29618,6300.085761,6328.970626,6345.906181,6348.714093,6346.338545,6345.358193,,,,
2020-03-21,6204.47,6457.17,5854.01,6183.69,6164.287703,6163.766872,6159.37736,6156.856311,6157.535273,6159.886802,6160.671044,,,,
2020-03-22,6183.84,6408.91,5730.35,5810.17,6216.876108,6212.770625,6181.670618,6157.901396,6142.50861,6132.124032,6127.146036,,,,
2020-03-23,5810.3,6619.9,5670,6463.84,5937.929927,5943.876807,5989.759309,6027.062848,6054.38299,6075.957432,6085.841803,,,,
2020-03-24,6463.21,6840,6369,6741.33,6578.776949,6580.754233,6595.966463,6607.569862,6615.393191,6622.134445,6625.432224,,,,
2020-03-25,6740.86,6960.71,6436.26,6673.41,6646.919932,6646.778682,6645.837364,6645.041944,6643.96167,6643.082846,6643.043469,,,,
2020-03-26,6673.57,6777.5,6500,6733.76,6670.094449,6669.161528,6661.742848,6656.417429,6654.035418,6653.172289,6653.071873,,,,
